ENQUIRY ID,Customer Name,Phone Number,Email,Gender,Vehicle Name / Model,Enquiry Source,Enquiry Date,Appointment Date,City / State,Customer Type,Payment Type,Test Ride Taken,Status
ENQ001,Ananya,9945206132,user0@example.com,Male,Honda City,Walk-in,4/1/2026,4/2/2026,"Hyderabad, TS",Returning,Loan,Yes,Booked
ENQ002,Arjun,9381177898,user1@example.com,Female,Kia Seltos,Call,4/16/2026,4/22/2026,"Hyderabad, TS",New,Loan,No,Contacted
ENQ003,Divya,9845661296,user2@example.com,Female,Tata Nexon,Walk-in,4/16/2026,4/22/2026,"Chennai, TN",New,Cash,No,Booked
ENQ004,Ananya,9464228084,user3@example.com,Female,Tata Nexon,Website,3/24/2026,3/29/2026,"Coimbatore, TN",New,Loan,Yes,Contacted
ENQ005,Vikram,9517263141,user4@example.com,Female,Tata Nexon,Website,3/30/2026,4/8/2026,"Hyderabad, TS",New,Cash,No,Closed
ENQ006,Karthik,9769393649,user5@example.com,Female,Tata Nexon,Website,4/1/2026,4/6/2026,"Hyderabad, TS",New,EMI,Yes,New Lead
ENQ007,Ravi,9766828827,user6@example.com,Male,Hyundai i20,Walk-in,4/3/2026,4/5/2026,"Bangalore, KA",Returning,Cash,No,Closed
ENQ008,Ananya,9113573391,user7@example.com,Female,Kia Seltos,Website,4/1/2026,4/9/2026,"Hyderabad, TS",New,Cash,No,Closed
ENQ009,Ravi,9841296946,user8@example.com,Male,Tata Nexon,Website,3/19/2026,3/27/2026,"Chennai, TN",New,Cash,No,New Lead
ENQ010,Vikram,9580806184,user9@example.com,Female,Honda City,Call,3/21/2026,3/25/2026,"Bangalore, KA",Returning,EMI,No,Booked
ENQ011,Meera,9361709609,user10@example.com,Male,Maruti Swift,Website,3/28/2026,4/5/2026,"Coimbatore, TN",Returning,EMI,No,Contacted
ENQ012,Ananya,9816434971,user11@example.com,Male,Tata Nexon,Walk-in,3/18/2026,3/20/2026,"Chennai, TN",New,Loan,No,Booked
ENQ013,Ravi,9373790702,user12@example.com,Male,Hyundai i20,Walk-in,4/10/2026,4/15/2026,"Coimbatore, TN",Returning,Cash,Yes,New Lead
ENQ014,Meera,9863862339,user13@example.com,Male,Maruti Swift,Walk-in,4/6/2026,4/9/2026,"Bangalore, KA",New,EMI,Yes,Contacted
ENQ015,Ananya,9235191190,user14@example.com,Female,Tata Nexon,Walk-in,4/7/2026,4/9/2026,"Hyderabad, TS",Returning,EMI,Yes,New Lead
ENQ016,Sneha,9589366438,user15@example.com,Female,Tata Nexon,Call,4/16/2026,4/21/2026,"Chennai, TN",New,Cash,Yes,Closed
ENQ017,Ravi,9659965938,user16@example.com,Male,Honda City,Walk-in,4/10/2026,4/14/2026,"Chennai, TN",New,EMI,Yes,Booked
ENQ018,Arjun,9609841179,user17@example.com,Female,Hyundai i20,Call,4/14/2026,4/19/2026,"Coimbatore, TN",New,Cash,No,Contacted
ENQ019,Ravi,9951316533,user18@example.com,Female,Maruti Swift,Call,4/13/2026,4/23/2026,"Chennai, TN",Returning,EMI,No,Booked
ENQ020,Karthik,9460781047,user19@example.com,Female,Honda City,Call,4/6/2026,4/10/2026,"Hyderabad, TS",Returning,Cash,Yes,Closed
ENQ021,Karthik,9944101090,user20@example.com,Female,Honda City,Website,3/21/2026,3/26/2026,"Coimbatore, TN",Returning,Cash,Yes,Closed
ENQ022,Ananya,9233510230,user21@example.com,Male,Honda City,Walk-in,4/8/2026,4/15/2026,"Hyderabad, TS",Returning,Loan,Yes,Closed
